Time,S,T,T1,P,V,I
11:25,204,"27,2","32,2","999,332932027317","627,75677873421","1,59191101694249"
11:30,208,"26,9","31,9","1020,84363558331","628,984574631593","1,62300265659334"
11:34,247,"27,3","32,3","1229,69091224061","631,302110482304","1,94786440885039"
11:39,327,"28,5","33,5","1657,36438925923","611,198790059987","2,71166176408263"
11:45,283,"29,6","34,6","1422,31981602426","607,186826733486","2,34247475966498"
11:50,279,"29,9","34,9","1400,97408108346","606,877011883715","2,30849752692874"
11:54,270,30,35,"1353,27717896281","606,777518836003","2,2302691463567"
12:00,255,"29,5","34,5","1274,6344621353","617,305114106292","2,0648370360266"
12:05,251,"28,6","33,6","1252,8632469691","623,304804649277","2,01003303299429"
12:09,248,"28,8","33,8","1233,80596006753","627,564017048403","1,96602406535422"
12:14,221,"28,8","33,8","1094,77512985467","610,222184367198","1,79405986524393"
12:20,206,"28,3","33,3","1009,09727699887","625,413692630548","1,61348766246948"
12:25,197,"27,8","32,8","968,50005130562","609,64473998703","1,58863020999119"
12:29,202,"27,7","32,7","993,513846062563","598,364085854558","1,6603834848204"
12:35,230,"27,6","32,6","1137,63717107578","595,308374249966","1,91100481747649"
12:40,239,"27,9","32,9","1185,35007434384","630,31186592025","1,88057712131635"
12:45,246,"28,5","33,5","1226,17322470933","623,142934796659","1,96772386596897"
12:49,232,"28,1","33,1","1143,52346557826","588,560814743386","1,94291471150154"
12:55,238,"28,1","33,1","1172,95689507374","636,573420579267","1,84261054130469"
13:00,279,"28,5","33,5","1402,79069666979","610,66688466976","2,29714551727886"
13:04,329,"29,4","34,4","1670,01274830768","630,294522211922","2,64957522151237"
13:09,324,"30,2","35,2","1638,62268609859","606,358951062939","2,70239712504633"
13:15,294,"31,1","36,1","1479,42048094084","605,277481988788","2,44420208080406"
13:20,358,"30,8","35,8","1825,26275215781","626,458163128084","2,91362274384574"
13:24,384,"31,4","36,4","1956,01317998083","606,133994177519","3,22703098451854"
13:30,289,"31,6","36,6","1452,44452569936","604,39048581685","2,40315584011277"
13:35,279,"30,8","35,8","1399,80641121451","604,548627102419","2,3154571004879"
13:39,276,"30,5","35,5","1385,06422134224","607,421468756426","2,28023587012471"
13:44,309,"30,6","35,6","1559,16282093812","605,970326395821","2,57300193263865"
13:50,355,"30,9","35,9","1809,017238553","625,777253444161","2,89083252642456"
